"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"A1BG","-",7,6,7,6,2,1,0.0813008130081301,1,0,1,2206,7229,1,FALSE,FALSE,TRUE,FALSE,NA
"A1BG-AS1","+",2,0,2,0,1,0,0.056657223796034,0,0,0,0,58354080,1,FALSE,FALSE,FALSE,FALSE,NA
"A1CF","-",3,2,3,2,1,1,0.0294204177699323,0.359712230215827,0,1,0,64887,1,FALSE,FALSE,FALSE,FALSE,NA
"A2M","-",19,16,22,21,3,4,0.102880658436214,1.28755364806867,0.208463949843259,1,16010,63025,0.754621502646818,FALSE,FALSE,TRUE,FALSE,NA
"A2ML1","+",4,3,4,3,1,2,0.0428082191780822,0.139664804469274,0.166666666666667,1,11448,63085,1,FALSE,FALSE,TRUE,FALSE,NA
"A2MP1","-",3,2,3,2,1,6,0.0227014755959137,0.802139037433155,0.357142857142857,1,8160,14412,0.4,FALSE,FALSE,FALSE,FALSE,NA
"A4GALT","-",2,8,2,9,1,1,0.051440329218107,0.564971751412429,0,1,36095,84954,1,FALSE,FALSE,TRUE,FALSE,NA
"A4GNT","-",1,2,1,2,1,1,0.00779787897691828,0.735294117647059,0,1,11208,16191,1,FALSE,FALSE,FALSE,FALSE,NA
"AAAS","-",12,4,15,5,3,1,0.0502765208647562,0.127713920817369,0,1,1720,14668,0.602683178534572,FALSE,FALSE,TRUE,FALSE,NA
"AACS","+",4,5,5,5,1,1,0.256410256410256,0.471698113207547,0,1,61946,127599,1,FALSE,FALSE,TRUE,FALSE,NA
"AACSP1","-",5,2,5,2,1,1,0.0749625187406297,0.0841750841750842,0,1,18862,72636,1,FALSE,FALSE,FALSE,FALSE,NA
"AADACL2","+",3,0,3,0,1,0,0.0257400257400257,0,0,0,80982,151703019,1,FALSE,FALSE,FALSE,FALSE,NA
"AADACL2-AS1","-",17,3,18,4,1,1,0.119047619047619,1.2987012987013,0,1,100108,267584,0.00956937799043063,FALSE,FALSE,TRUE,FALSE,NA
"AADACL3","+",0,1,0,1,0,1,0,0.0809716599190283,0,1,20611,12695502,1,FALSE,FALSE,FALSE,FALSE,NA
"AADACL4","+",0,1,0,1,0,1,0,0.045662100456621,0,1,0,12665414,1,FALSE,FALSE,FALSE,FALSE,NA
"AADAT","-",5,2,5,3,1,1,0.0603864734299517,1.14942528735632,0,1,66664,103222,1,FALSE,FALSE,FALSE,FALSE,NA
"AAED1","-",4,5,4,6,1,1,0.0749625187406297,0.440528634361234,0,1,33835,58339,0.4,FALSE,FALSE,FALSE,FALSE,NA
"AAGAB","-",31,13,40,13,2,2,0.3690036900369,1.32450331125828,0.170940170940171,1,2054,55172,0.75575276857591,FALSE,TRUE,TRUE,FALSE,NA
"AAK1","-",47,19,80,27,3,6,0.117647058823529,0.699300699300699,0.228395061728396,2,0,171160,0.82339738799575,FALSE,FALSE,TRUE,FALSE,NA
"AAMDC","+",7,4,7,5,1,3,0.0689655172413793,1.61290322580645,0.228571428571429,1,0,72362,1,FALSE,FALSE,FALSE,FALSE,NA
"AANAT","+",2,1,2,1,1,1,0.0297973778307509,0.50761421319797,0,1,0,4109,1,FALSE,FALSE,TRUE,FALSE,NA
