"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"A2ML1","+",1,0,1,0,1,0,0.000182381907714755,0,0,0,0,8874107,1,FALSE,FALSE,TRUE,FALSE,NA
"A2MP1","-",1,0,1,0,1,0,0.000182381907714755,0,0,0,6203,9222329,1,FALSE,FALSE,FALSE,FALSE,NA
"A4GALT","-",1,0,1,0,1,0,0.000182381907714755,0,0,0,19671,42672443,1,FALSE,FALSE,FALSE,FALSE,NA
"AAAS","-",1,0,1,0,1,0,0.000162443144899285,0,0,0,0,53309225,1,FALSE,FALSE,FALSE,FALSE,NA
"AACS","+",0,1,0,1,0,1,0,0.00112739571589628,0,1,0,125077681,1,FALSE,FALSE,TRUE,FALSE,NA
"AADACL2-AS1","-",4,0,4,0,1,0,0.000303122158229767,0,0,0,0,151912893,1,FALSE,FALSE,FALSE,FALSE,NA
"AADACL3","+",0,1,0,1,0,1,0,0.00078125,0,1,20612,12695502,1,FALSE,FALSE,FALSE,FALSE,NA
"AADAT","-",1,0,1,0,1,0,0.000235349493998588,0,0,0,11508,170101895,1,FALSE,FALSE,FALSE,FALSE,NA
"AAGAB","-",5,0,8,0,1,0,0.000736919675755343,0,0,0,2055,67236356,1,FALSE,FALSE,TRUE,FALSE,NA
"AAK1","-",4,0,16,0,2,0,0.00102564102564103,0,0,0,0,69638101,1,FALSE,FALSE,TRUE,FALSE,NA
"AAMDC","+",1,2,1,2,1,1,0.000162443144899285,0.0062111801242236,0,1,0,46210,1,FALSE,FALSE,FALSE,FALSE,NA
"AAR2","+",1,0,1,0,1,0,0.000162443144899285,0,0,0,0,36251727,1,FALSE,FALSE,FALSE,FALSE,NA
"AARS","-",3,0,4,0,1,0,0.000719424460431655,0,0,0,0,70276915,1,FALSE,FALSE,FALSE,FALSE,NA
"AARS2","-",1,0,1,0,1,0,0.000307408545957578,0,0,0,6652,44319978,1,FALSE,FALSE,FALSE,FALSE,NA
"AASDHPPT","+",1,0,1,0,1,0,0.000219058050383352,0,0,0,0,106082202,1,FALSE,FALSE,FALSE,FALSE,NA
"AATF","+",6,2,17,3,1,1,0.000719424460431655,0.00826446280991736,0,1,0,74613,1,TRUE,FALSE,TRUE,FALSE,NA
"ABAT","+",1,0,1,0,1,0,0.000219058050383352,0,0,0,0,8770317,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA11P","-",2,0,2,0,1,0,0.000303122158229767,0,0,0,0,471087,1,FALSE,FALSE,TRUE,FALSE,NA
"ABCA12","-",0,1,0,1,0,1,0,0.000623830318153462,0,1,0,215031572,1,FALSE,FALSE,TRUE,FALSE,NA
"ABCA13","+",1,0,1,0,1,0,0.00018723085564501,0,0,0,65070,48712565,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA17P","+",4,0,5,0,1,0,0.00102564102564103,0,0,0,0,2401473,1,FALSE,FALSE,FALSE,FALSE,NA
