"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"A1BG","-",0,1,0,1,0,1,0,0.00338983050847458,0,1,0,58349256,1,FALSE,FALSE,TRUE,FALSE,NA
"A1CF","-",1,1,1,1,1,1,0.000282406099971759,0.000768639508070715,0,1,0,29128,1,FALSE,FALSE,FALSE,FALSE,NA
"A2M","-",6,4,6,6,3,4,0.000991571641051066,0.00888888888888889,0.277777777777778,1,15113,61856,0.545454545454546,FALSE,FALSE,FALSE,FALSE,NA
"A2ML1","+",0,1,0,1,0,2,0,0.000531773464504121,0,1,0,8867191,1,FALSE,FALSE,TRUE,FALSE,NA
"A2MP1","-",1,0,1,0,1,0,0.000217580504786771,0,0,0,576,9234783,1,FALSE,FALSE,FALSE,FALSE,NA
"A4GALT","-",1,2,1,2,1,1,0.000495785820525533,0.000859106529209622,0,1,30176,28011,0.333333333333333,FALSE,FALSE,FALSE,FALSE,NA
"A4GNT","-",0,1,0,1,0,1,0,0.00714285714285714,0,1,5052,138137439,1,FALSE,FALSE,FALSE,FALSE,NA
"AAAS","-",0,2,0,2,0,1,0,0.00126903553299492,0,1,1721,53323349,1,FALSE,FALSE,FALSE,FALSE,NA
"AACS","+",2,2,2,2,1,1,0.00255102040816327,0.00429184549356223,0,1,61947,103174,1,FALSE,FALSE,TRUE,FALSE,NA
"AACSP1","-",2,1,2,1,1,1,0.000722021660649819,0.0000632911392405063,0,1,198,12256,1,FALSE,FALSE,FALSE,FALSE,NA
"AADACL2-AS1","-",3,1,3,1,1,1,0.00113636363636364,0.00128865979381443,0,1,94718,187261,0.25,FALSE,FALSE,FALSE,FALSE,NA
"AADACL4","+",0,1,0,1,0,1,0,0.000442086648983201,0,1,0,12665414,1,FALSE,FALSE,FALSE,FALSE,NA
"AADAT","-",0,1,0,1,0,1,0,0.000126887450831113,0,1,66665,170157052,1,FALSE,FALSE,FALSE,FALSE,NA
"AAED1","-",1,1,1,1,1,1,0.000722021660649819,0.00429184549356223,0,1,11133,21820,1,FALSE,FALSE,FALSE,FALSE,NA
"AAGAB","-",6,2,8,2,2,2,0.00113636363636364,0.00668896321070234,0.166666666666667,1,0,47278,1,FALSE,FALSE,TRUE,FALSE,NA
"AAK1","-",6,3,7,8,1,6,0.000509164969450102,0.00689655172413793,0.375,1,0,160109,1,FALSE,FALSE,TRUE,FALSE,NA
"AAMDC","+",3,1,3,1,1,3,0.000509164969450102,0.000380662352493338,0,1,0,65770,0.25,FALSE,FALSE,FALSE,FALSE,NA
"AARD","+",0,1,0,1,0,1,0,0.000768639508070715,0,1,9309,116928915,1,FALSE,FALSE,FALSE,FALSE,NA
"AARS","-",1,4,1,4,1,1,0.000299311583358276,0.00598802395209581,0,1,0,7950,0.2,FALSE,FALSE,FALSE,FALSE,NA
"AASDH","-",0,2,0,2,0,3,0,0.0046189376443418,0.25,3,0,56357084,1,FALSE,FALSE,TRUE,FALSE,NA
"AASDHPPT","+",5,2,7,3,3,1,0.000723589001447178,0.000410004100041,0,1,63,19106,1,FALSE,FALSE,FALSE,FALSE,NA
"AASS","-",2,0,2,0,1,0,0.000278009452321379,0,0,0,32543,122176833,1,FALSE,FALSE,FALSE,FALSE,NA
"AATF","+",13,6,13,7,2,2,0.00169779286926995,0.00256410256410256,0.158730158730159,1,0,80314,0.016640866873065,TRUE,FALSE,TRUE,FALSE,NA
"AATK","-",1,0,1,0,1,0,0.000405186385737439,0,0,0,0,81156667,1,FALSE,FALSE,FALSE,FALSE,NA
"ABAT","+",1,0,1,0,1,0,0.000299311583358276,0,0,0,0,8682009,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA1","-",1,5,2,6,1,1,0.000428265524625268,0.00584795321637427,0,1,96107,240310,1,TRUE,FALSE,FALSE,FALSE,NA
"ABCA10","-",2,1,2,1,1,1,0.00113636363636364,0.000354233085370174,0,1,0,52684,0.333333333333333,FALSE,FALSE,FALSE,FALSE,NA
"ABCA11P","-",4,4,4,4,2,3,0.00202020202020202,0.0189873417721519,0.25,1,11852,56358,0.485714285714286,FALSE,FALSE,TRUE,FALSE,NA
"ABCA12","-",1,2,1,2,1,1,0.000365764447695684,0.0023094688221709,0,1,0,154383,1,FALSE,FALSE,TRUE,FALSE,NA
"ABCA13","+",0,1,0,1,0,1,0,0.0192307692307692,0,1,0,48349811,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA17P","+",5,2,6,2,2,1,0.000556018904642758,0.00301204819277108,0,1,0,81667,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA2","-",2,0,2,0,1,0,0.000908265213442325,0,0,0,0,137023874,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA3","-",10,2,14,3,2,1,0.000908265213442325,0.00334448160535117,0,1,0,41776,1,TRUE,FALSE,FALSE,FALSE,NA
"ABCA4","-",1,1,1,2,1,1,0.000495049504950495,0.00257731958762887,0,1,22462,127634,0.333333333333333,FALSE,FALSE,FALSE,FALSE,NA
"ABCA5","-",4,5,5,6,1,1,0.000958772770853308,0.000742390497401633,0,1,0,55564,0.242424242424242,FALSE,FALSE,FALSE,FALSE,NA
"ABCA7","+",5,0,5,0,8,0,0.00407331975560081,0,0,0,0,1061068,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA8","-",1,0,1,0,1,0,0.000485201358563804,0,0,0,72786,68794500,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA9","-",0,2,0,2,0,1,0,0.0454545454545455,0,1,4998,69065214,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCB1","-",2,4,2,4,3,1,0.00105820105820106,0.00497512437810945,0,1,0,148307,1,TRUE,FALSE,TRUE,FALSE,NA
"ABCB10","-",3,0,3,0,1,0,0.000805152979066023,0,0,0,0,229547450,1,TRUE,FALSE,FALSE,FALSE,NA
"ABCB11","-",0,1,0,1,0,1,0,0.00128865979381443,0,1,0,168987568,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCB4","-",1,0,1,0,1,0,0.000241196333815726,0,0,0,0,87441690,1,TRUE,FALSE,FALSE,FALSE,NA
"ABCB5","+",2,1,2,1,1,1,0.000485201358563804,0.000126887450831113,0,1,73954,216721,1,TRUE,FALSE,FALSE,FALSE,NA
"ABCB7","-",0,2,0,2,0,1,0,0.00395256916996047,0,1,806,75110093,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCB8","+",1,1,1,1,1,1,0.000495785820525533,0.00218340611353712,0,1,0,1597,1,TRUE,FALSE,FALSE,FALSE,NA
"ABCB9","-",1,0,1,0,1,0,0.000294464075382803,0,0,0,867,122920083,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC1","+",6,7,8,12,1,2,0.00113636363636364,0.00222222222222222,0.0705128205128207,1,24143,170143,0.0281019290307216,TRUE,FALSE,TRUE,FALSE,NA
"ABCC10","+",1,3,1,3,1,1,0.000805152979066023,0.00598802395209581,0,1,12219,30184,1,FALSE,FALSE,TRUE,FALSE,NA
"ABCC13","+",1,0,1,0,1,0,0.000241196333815726,0,0,0,0,14282874,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC2","+",1,2,1,2,1,1,0.000495049504950495,0.00354609929078014,0,1,5293,43967,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC3","+",0,1,0,1,0,2,0,0.000126582278481013,0,1,0,50645187,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC4","-",6,5,8,7,2,5,0.00255102040816327,0.0114942528735632,0.311688311688312,3,48668,330531,1,FALSE,TRUE,TRUE,FALSE,NA
"ABCC5","-",3,4,3,4,1,2,0.00169779286926995,0.00182315405651778,0.15,1,0,77715,1,FALSE,FALSE,TRUE,FALSE,NA
"ABCC6","-",1,0,1,0,1,0,0.000299311583358276,0,0,0,0,16193501,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC6P1","+",0,1,0,1,0,1,0,0.00497512437810945,0,1,28975,18627260,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC6P2","-",0,1,0,1,0,1,0,0.000126887450831113,0,1,506,14821925,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC8","-",0,1,0,1,0,1,0,0.00584795321637427,0,1,0,17409107,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC9","-",0,1,0,1,0,1,0,0.000126887450831113,0,1,29857,21966551,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCD1","+",0,1,0,1,0,18,0,0.00113924050632911,0,1,0,153735681,1,FALSE,TRUE,TRUE,FALSE,NA
"ABCD2","-",9,8,10,26,5,8,0.00120598166907863,0.00584795321637427,0.344364937388193,2,23686,83804,1,FALSE,FALSE,TRUE,TRUE,3.65462575351225
"ABCD3","+",3,3,4,3,1,3,0.000847457627118644,0.000486736432221952,0.222222222222222,1,36659,130017,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCE1","+",8,6,9,7,1,1,0.00105820105820106,0.000410004100041,0,1,1540,26124,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCF1","+",15,6,19,14,3,7,0.00202020202020202,0.0050761421319797,0.302721088435374,1,3994,21594,0.0366365204494527,FALSE,FALSE,TRUE,FALSE,NA
"ABCF2","-",1,0,1,0,1,0,0.000278009452321379,0,0,0,0,151215816,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCF3","+",2,0,2,0,1,0,0.000282406099971759,0,0,0,14521,184208528,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCG2","-",2,2,2,2,1,1,0.000365764447695684,0.000265886732252061,0,1,0,125935,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCG4","+",1,1,1,1,1,1,0.000299311583358276,0.00338983050847458,0,1,4328,8814,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCG5","-",0,1,0,1,0,1,0,0.00598802395209581,0,1,0,43833675,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD10","+",1,4,1,3,1,3,0.000428265524625268,0.0204081632653061,0.25,2,0,4701,1,FALSE,FALSE,TRUE,FALSE,NA
"ABHD11","-",1,0,1,0,1,0,0.000722021660649819,0,0,0,0,73736421,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD12","-",2,1,2,1,1,1,0.00166112956810631,0.0000632911392405063,0,1,0,65272,0.333333333333333,FALSE,FALSE,TRUE,FALSE,NA
"ABHD12B","+",0,1,0,1,0,1,0,0.0021978021978022,0,1,20089,50852070,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD13","+",3,1,3,1,1,1,0.000477326968973747,0.000243368216110976,0,1,0,10634,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD14A-ACY1","+",1,0,1,0,1,0,0.000958772770853308,0,0,0,0,51985249,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD16A","-",13,6,18,7,2,6,0.00113636363636364,0.020066889632107,0.373626373626374,1,0,8704,0.378260869565217,FALSE,TRUE,TRUE,FALSE,NA
"ABHD17A","-",4,3,5,4,1,2,0.000958772770853308,0.0026525198938992,0.107142857142857,2,7111,22271,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD17B","-",3,3,5,5,1,3,0.000495785820525533,0.00230591852421214,0.25,1,43817,89555,0.166666666666667,FALSE,FALSE,TRUE,FALSE,NA
