"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"A1BG","-",0,1,0,1,0,1,0,0.00338983050847458,0,1,0,58349256,1,FALSE,FALSE,TRUE,FALSE,NA
"A1CF","-",1,1,1,1,1,1,0.000282406099971759,0.000768639508070715,0,1,0,29128,1,FALSE,FALSE,FALSE,FALSE,NA
"A2M","-",4,4,4,6,3,4,0.000723589001447178,0.00888888888888889,0.277777777777778,1,15113,61856,1,FALSE,FALSE,FALSE,FALSE,NA
"A2ML1","+",1,1,1,1,1,2,0.000182381907714755,0.000531773464504121,0,1,0,6916,1,FALSE,FALSE,TRUE,FALSE,NA
"A2MP1","-",1,0,1,0,1,0,0.000182381907714755,0,0,0,6203,9222329,1,FALSE,FALSE,FALSE,FALSE,NA
"A4GALT","-",1,2,1,2,1,1,0.000182381907714755,0.000859106529209622,0,1,30176,79034,0.333333333333333,FALSE,FALSE,FALSE,FALSE,NA
"A4GNT","-",0,1,0,1,0,1,0,0.00714285714285714,0,1,5052,138137439,1,FALSE,FALSE,FALSE,FALSE,NA
"AAAS","-",1,1,1,1,1,1,0.000162443144899285,0.000848176420695505,0,1,0,622,1,FALSE,FALSE,FALSE,FALSE,NA
"AACS","+",1,2,1,2,1,1,0.000241196333815726,0.00429184549356223,0,1,0,49905,0.333333333333333,FALSE,FALSE,TRUE,FALSE,NA
"AACSP1","-",1,1,1,1,1,1,0.000722021660649819,0.0000632911392405063,0,1,0,3199,1,FALSE,FALSE,FALSE,FALSE,NA
"AADACL2-AS1","-",5,0,5,0,1,0,0.000303122158229767,0,0,0,0,151912893,1,FALSE,FALSE,FALSE,FALSE,NA
"AADACL3","+",0,1,0,1,0,1,0,0.00078125,0,1,20612,12695502,1,FALSE,FALSE,FALSE,FALSE,NA
"AADACL4","+",0,1,0,1,0,1,0,0.000442086648983201,0,1,0,12665414,1,FALSE,FALSE,FALSE,FALSE,NA
"AADAT","-",1,1,1,1,1,1,0.000235349493998588,0.000126887450831113,0,1,66665,55157,1,FALSE,FALSE,FALSE,FALSE,NA
"AAED1","-",1,1,1,1,1,1,0.000722021660649819,0.00429184549356223,0,1,11133,21820,1,FALSE,FALSE,FALSE,FALSE,NA
"AAGAB","-",5,1,9,1,1,2,0.000303122158229767,0.00668896321070234,0,1,2055,52040,1,FALSE,FALSE,TRUE,FALSE,NA
"AAK1","-",5,3,17,8,2,6,0.00102564102564103,0.00689655172413793,0.375,1,0,148962,1,FALSE,FALSE,TRUE,FALSE,NA
"AAMDC","+",2,2,2,2,1,3,0.000241196333815726,0.0062111801242236,0.25,1,0,46252,1,FALSE,FALSE,FALSE,FALSE,NA
"AAR2","+",1,0,1,0,1,0,0.000162443144899285,0,0,0,0,36251727,1,FALSE,FALSE,FALSE,FALSE,NA
"AARD","+",0,1,0,1,0,1,0,0.000768639508070715,0,1,9309,116928915,1,FALSE,FALSE,FALSE,FALSE,NA
"AARS","-",2,4,3,4,1,1,0.000235349493998588,0.00598802395209581,0,1,0,20704,0.428571428571428,FALSE,FALSE,FALSE,FALSE,NA
"AARS2","-",1,0,1,0,1,0,0.000307408545957578,0,0,0,6652,44319978,1,FALSE,FALSE,FALSE,FALSE,NA
"AASDH","-",0,2,0,2,0,3,0,0.0046189376443418,0.25,3,0,56357084,1,FALSE,FALSE,TRUE,FALSE,NA
"AASDHPPT","+",2,2,2,3,3,1,0.000723589001447178,0.000410004100041,0,1,0,9919,1,FALSE,FALSE,FALSE,FALSE,NA
"AATF","+",8,5,19,7,1,2,0.000908265213442325,0.00826446280991736,0.107142857142857,1,0,63799,0.020819397993311,TRUE,FALSE,TRUE,FALSE,NA
"ABAT","+",1,0,1,0,1,0,0.000219058050383352,0,0,0,0,8770317,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA1","-",1,3,2,3,1,1,0.000428265524625268,0.000848176420695505,0,1,96107,233771,0.4,TRUE,FALSE,FALSE,FALSE,NA
"ABCA10","-",0,1,0,1,0,1,0,0.000354233085370174,0,1,0,69218714,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA11P","-",4,3,4,3,1,3,0.000303122158229767,0.0189873417721519,0.19047619047619,1,0,25900,1,FALSE,FALSE,TRUE,FALSE,NA
"ABCA12","-",0,3,0,3,0,1,0,0.0023094688221709,0,1,0,215119091,1,FALSE,FALSE,TRUE,FALSE,NA
"ABCA13","+",1,1,1,1,1,1,0.00018723085564501,0.0192307692307692,0,1,65070,362754,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA17P","+",6,1,7,1,1,1,0.00102564102564103,0.000848176420695505,0,1,0,53006,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA2","-",2,0,2,0,1,0,0.000908265213442325,0,0,0,5034,137023874,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA3","-",8,2,10,3,2,1,0.00102564102564103,0.00334448160535117,0,1,0,55558,0.423076923076923,TRUE,FALSE,FALSE,FALSE,NA
"ABCA4","-",1,1,1,1,1,1,0.000495049504950495,0.00602409638554217,0,1,23220,758,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA5","-",5,4,9,5,1,1,0.000958772770853308,0.000311720698254364,0,1,12980,93997,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA6","-",1,0,1,0,1,0,0.000131319763624425,0,0,0,0,69104614,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA7","+",5,0,12,0,1,0,0.000307408545957578,0,0,0,0,1061430,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA8","-",1,0,1,0,1,0,0.000485201358563804,0,0,0,72786,68794500,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA9","-",0,1,0,1,0,1,0,0.0454545454545455,0,1,4219,69065214,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCB1","-",2,2,2,2,3,1,0.000723589001447178,0.00497512437810945,0,1,0,80305,1,TRUE,FALSE,TRUE,FALSE,NA
"ABCB10","-",2,0,2,0,1,0,0.000805152979066023,0,0,0,0,229547450,1,TRUE,FALSE,FALSE,FALSE,NA
"ABCB4","-",1,0,1,0,1,0,0.000241196333815726,0,0,0,0,87441690,1,TRUE,FALSE,FALSE,FALSE,NA
"ABCB5","+",1,1,1,1,1,1,0.000485201358563804,0.000126887450831113,0,1,1374,128690,1,TRUE,FALSE,FALSE,FALSE,NA
"ABCB7","-",1,2,1,2,1,1,0.00018723085564501,0.00395256916996047,0,1,806,64141,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCB8","+",0,1,0,1,0,1,0,0.00218340611353712,0,1,0,151032515,1,TRUE,FALSE,FALSE,FALSE,NA
"ABCB9","-",1,0,1,0,1,0,0.000182381907714755,0,0,0,8449,122912501,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC1","+",9,7,15,12,2,2,0.000908265213442325,0.00222222222222222,0.119047619047619,1,24143,190793,0.0869565217391304,TRUE,FALSE,TRUE,FALSE,NA
"ABCC10","+",3,2,3,2,1,1,0.000805152979066023,0.00598802395209581,0,1,27477,45442,1,FALSE,FALSE,TRUE,FALSE,NA
"ABCC13","+",1,0,1,0,1,0,0.000241196333815726,0,0,0,0,14282874,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC2","+",1,2,1,2,1,1,0.000495049504950495,0.00354609929078014,0,1,5293,43967,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC3","+",0,1,0,1,0,2,0,0.000126582278481013,0,1,0,50645187,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC4","-",4,5,5,7,1,5,0.000241196333815726,0.0114942528735632,0.311688311688312,3,12220,294083,1,FALSE,TRUE,TRUE,FALSE,NA
"ABCC5","-",5,3,10,3,1,2,0.000307408545957578,0.00182315405651778,0.166666666666667,1,0,88721,0.202797202797203,FALSE,FALSE,TRUE,FALSE,NA
"ABCC6P1","+",0,1,0,1,0,1,0,0.00497512437810945,0,1,28975,18627260,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC6P2","-",0,1,0,1,0,1,0,0.000126887450831113,0,1,506,14821925,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC9","-",0,1,0,1,0,1,0,0.000126887450831113,0,1,29857,21966551,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCD1","+",3,1,4,1,1,18,0.000307408545957578,0.00113924050632911,0,1,8907,22181,1,FALSE,TRUE,TRUE,FALSE,NA
"ABCD2","-",9,5,15,20,5,8,0.00120598166907863,0.00387596899224806,0.377777777777778,2,49048,115297,1,FALSE,FALSE,TRUE,TRUE,3.65462575351225
"ABCD3","+",5,3,7,3,1,3,0.000495049504950495,0.000486736432221952,0.222222222222222,1,36659,122416,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCE1","+",5,6,9,7,2,1,0.000428265524625268,0.000410004100041,0,1,0,25102,0.632867132867133,FALSE,FALSE,FALSE,FALSE,NA
"ABCF1","+",13,5,26,12,3,7,0.00145560407569141,0.0050761421319797,0.328947368421053,1,3758,20376,0.0326025659239033,FALSE,FALSE,TRUE,FALSE,NA
"ABCF2","-",2,0,2,0,1,0,0.000235349493998588,0,0,0,0,151223264,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCF3","+",2,0,2,0,1,0,0.00089126559714795,0,0,0,16649,184210656,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCG1","+",3,0,3,0,1,0,0.000307408545957578,0,0,0,23142,42196412,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCG2","-",0,2,0,2,0,1,0,0.000265886732252061,0,1,0,88217452,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCG4","+",0,1,0,1,0,1,0,0.00338983050847458,0,1,4328,119144711,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCG5","-",0,1,0,1,0,1,0,0.00598802395209581,0,1,0,43833675,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD10","+",3,3,3,3,1,1,0.000428265524625268,0.0204081632653061,0,2,0,4701,0.4,FALSE,FALSE,TRUE,FALSE,NA
"ABHD11","-",1,0,1,0,1,0,0.000722021660649819,0,0,0,0,73736421,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD12","-",1,2,1,2,1,1,0.00166112956810631,0.00078125,0,1,0,33952,0.333333333333333,FALSE,FALSE,TRUE,FALSE,NA
"ABHD12B","+",2,1,2,1,1,1,0.000307408545957578,0.0021978021978022,0,1,20253,47942,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD13","+",3,1,3,1,1,1,0.000428265524625268,0.000243368216110976,0,1,0,12108,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD14A-ACY1","+",1,0,1,0,1,0,0.000958772770853308,0,0,0,0,51985249,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD16A","-",9,8,24,9,2,6,0.00099009900990099,0.020066889632107,0.340740740740741,1,0,11179,0.704115684093437,FALSE,TRUE,TRUE,FALSE,NA
"ABHD17A","-",6,3,10,4,1,5,0.000958772770853308,0.031055900621118,0.204545454545454,2,9078,24238,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD17B","-",2,3,2,5,1,3,0.000303122158229767,0.00230591852421214,0.25,1,17992,63730,0.0476190476190476,FALSE,FALSE,TRUE,FALSE,NA
