"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"A1BG","-",1,1,1,1,1,1,0.000432338953739732,0.00338983050847458,0,1,0,258,1,FALSE,FALSE,TRUE,FALSE,NA
"A1BG-AS1","+",1,0,1,0,1,0,0.000372300819061802,0,0,0,0,58353820,1,FALSE,FALSE,FALSE,FALSE,NA
"A1CF","-",1,1,1,1,1,1,0.000282406099971759,0.000768639508070715,0,1,0,29128,1,FALSE,FALSE,FALSE,FALSE,NA
"A2M","-",11,4,12,6,3,4,0.000991571641051066,0.00888888888888889,0.277777777777778,1,15113,61856,0.315610859728507,FALSE,FALSE,FALSE,FALSE,NA
"A2ML1","+",2,1,2,1,1,2,0.000428265524625268,0.000531773464504121,0,1,8970,60606,1,FALSE,FALSE,TRUE,FALSE,NA
"A2MP1","-",2,0,2,0,1,0,0.000217580504786771,0,0,0,6203,9234783,1,FALSE,FALSE,FALSE,FALSE,NA
"A4GALT","-",2,2,2,2,1,1,0.000495785820525533,0.000859106529209622,0,1,30176,79034,0.333333333333333,FALSE,FALSE,FALSE,FALSE,NA
"A4GNT","-",0,1,0,1,0,1,0,0.00714285714285714,0,1,5052,138137439,1,FALSE,FALSE,FALSE,FALSE,NA
"AAAS","-",3,2,3,2,1,1,0.000428265524625268,0.00126903553299492,0,1,1721,14124,1,FALSE,FALSE,FALSE,FALSE,NA
"AACS","+",3,3,4,3,1,1,0.00255102040816327,0.00429184549356223,0,1,61947,127599,1,FALSE,FALSE,TRUE,FALSE,NA
"AACSP1","-",2,1,2,1,1,1,0.000722021660649819,0.0000632911392405063,0,1,198,12256,1,FALSE,FALSE,FALSE,FALSE,NA
"AADACL2","+",1,0,1,0,1,0,0.000257400257400257,0,0,0,80983,151652932,1,FALSE,FALSE,FALSE,FALSE,NA
"AADACL2-AS1","-",10,1,10,1,1,1,0.00113636363636364,0.00128865979381443,0,1,94718,221017,0.181818181818182,FALSE,FALSE,FALSE,FALSE,NA
