"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_sum_abund","TP_sum_abund","TDN_same_ort","TDN_oppo_ort","TP_same_ort","TP_oppo_ort","ort_fisher_test","abund_gini","Overlapping_Genes","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"'SRCAP","+",19,11,41,35,50,1031,24,17,32,3,0.00145376130292509,0.929447982119513,"SNORA30",FALSE,TRUE,TRUE,FALSE,NA
"'TET2","+",7,6,10,25,12,1747,4,6,21,4,0.0160489197818256,0.928126788780767,"TET2-AS1",TRUE,TRUE,TRUE,FALSE,NA
"'TET2-AS1","-",8,6,9,22,11,1744,6,3,3,19,0.00683901225565877,0.915225829216655,"TET2",FALSE,TRUE,TRUE,FALSE,NA
"'PIKFYVE","+",5,10,5,16,5,769,3,2,11,5,1,0.901928912006935,"",FALSE,TRUE,TRUE,FALSE,NA
"'MTMR3","+",18,6,45,19,52,380,25,20,13,6,0.410774134325131,0.88640350877193,"MIR6818, HORMAD2-AS1",TRUE,TRUE,TRUE,FALSE,NA
"'SSH2","-",24,10,70,39,81,302,36,34,29,10,0.0250978053825108,0.861995300149541,"EFCAB5",FALSE,TRUE,TRUE,FALSE,NA
"'PCNX1","+",21,11,43,28,44,288,19,24,21,7,0.014441415244906,0.840939153439153,"",FALSE,TRUE,TRUE,FALSE,NA
"'LEF1","-",17,9,34,23,49,181,16,18,17,6,0.0580891703414464,0.832105586249233,"LEF1-AS1",TRUE,TRUE,TRUE,FALSE,NA
"'RSRC1","+",14,9,21,20,26,158,10,11,13,7,0.349886699961309,0.826401446654611,"",FALSE,TRUE,TRUE,FALSE,NA
"'UMAD1","+",14,6,17,13,22,137,5,12,8,5,0.137619126944464,0.816605839416058,"RPA3",FALSE,TRUE,TRUE,FALSE,NA
"'TRIO","+",2,4,3,13,3,160,0,3,9,4,0.0624999999999999,0.814285714285714,"SNORD170",TRUE,TRUE,TRUE,FALSE,NA
"'UBR1","-",21,10,43,23,48,127,18,25,18,5,0.00873494815987597,0.805336832895888,"",FALSE,TRUE,TRUE,FALSE,NA
"'JMJD6","-",7,2,7,13,7,97,3,4,13,0,0.00722394220846233,0.805154639175258,"",FALSE,TRUE,TRUE,TRUE,0.0577591979432278
"'AQR","-",12,5,12,10,20,100,6,6,4,6,0.691355084543939,0.805,"",FALSE,TRUE,TRUE,FALSE,NA
"'RPA3","-",7,5,7,12,12,136,5,2,5,7,0.34984520123839,0.804621848739496,"UMAD1",FALSE,TRUE,TRUE,FALSE,NA
"'METTL23","+",7,4,7,14,7,99,6,1,0,14,0.000128998968008256,0.80257116620753,"",FALSE,FALSE,TRUE,TRUE,0.0577591979432278
"'MGA","+",16,12,40,32,42,162,19,21,24,8,0.0289132989449629,0.797325102880658,"MIR626",FALSE,TRUE,TRUE,FALSE,NA
"'PATL1","-",6,4,8,11,9,1220,4,4,2,9,0.318885448916409,0.79672131147541,"",FALSE,TRUE,TRUE,FALSE,NA
"'EXOSC10","-",10,4,14,9,20,95,9,5,8,1,0.340128978572915,0.790977443609022,"LOC105376736",FALSE,TRUE,TRUE,FALSE,NA
"'MAPK14","+",15,9,29,23,29,136,11,18,15,8,0.0929351695438391,0.790247678018576,"",TRUE,TRUE,TRUE,FALSE,NA
"'SMAP2","+",8,6,14,10,15,85,8,6,7,3,0.678456050612465,0.786554621848739,"",FALSE,TRUE,TRUE,FALSE,NA
"'N4BP1","-",7,6,9,13,9,102,5,4,9,4,0.661919504643963,0.786492374727669,"",FALSE,TRUE,TRUE,FALSE,NA
"'DNAJC13","+",13,9,14,17,16,113,7,7,12,5,0.28830810401251,0.784660766961652,"",FALSE,TRUE,TRUE,FALSE,NA
"'CARD8","-",24,14,119,55,137,253,62,57,27,28,0.746184357159424,0.782698526769673,"CARD8-AS1",TRUE,TRUE,TRUE,FALSE,NA
"'PA2G4","+",10,6,15,14,16,86,7,8,13,1,0.0141929035482259,0.781007751937985,"",FALSE,TRUE,TRUE,FALSE,NA
"'ATP2A2","+",12,8,23,18,24,120,12,11,11,7,0.75230623933573,0.778571428571429,"",FALSE,TRUE,TRUE,FALSE,NA
"'RSBN1L","+",6,6,10,10,12,68,6,4,8,2,0.628482972136223,0.772058823529412,"APTR",FALSE,TRUE,TRUE,FALSE,NA
"'IQCB1","-",4,5,5,7,5,128,1,4,5,2,0.242424242424243,0.76875,"",FALSE,TRUE,TRUE,FALSE,NA
"'GPN1","+",8,3,10,8,10,114,5,5,7,1,0.15158371040724,0.760233918128655,"CCDC121, SUPT7L",FALSE,TRUE,TRUE,FALSE,NA
"'HSF5","-",14,6,18,10,20,64,15,3,10,0,0.532967032967033,0.756944444444444,"",FALSE,TRUE,TRUE,FALSE,NA
"'CHD1L","+",2,3,2,9,2,55,0,2,8,1,0.0545454545454545,0.747727272727273,"PDIA3P1, FMO5",FALSE,TRUE,TRUE,FALSE,NA
"'DNAJC1","-",10,7,16,12,16,58,8,8,6,6,1,0.747126436781609,"",FALSE,TRUE,TRUE,FALSE,NA
"'POLG2","-",5,3,6,11,8,62,4,2,8,3,1,0.746543778801843,"",FALSE,TRUE,TRUE,FALSE,NA
"'SEC31A","-",9,6,10,12,11,87,7,3,10,2,0.62406015037594,0.745484400656814,"THAP9-AS1, SNORD143, SNORD144",FALSE,TRUE,TRUE,FALSE,NA
"'PPP6R3","+",20,15,70,67,81,265,38,32,47,20,0.07786340223404,0.744968553459119,"",FALSE,TRUE,TRUE,TRUE,3.15138669424078
"'HERC4","-",14,8,18,21,22,103,9,9,10,11,1,0.737864077669903,"POU5F1P5",FALSE,TRUE,TRUE,FALSE,NA
"'PTGES3","-",15,6,28,9,30,52,19,9,9,0,0.0785812744034298,0.735576923076923,"",FALSE,TRUE,TRUE,TRUE,1.21234367547959
"'ZZEF1","-",29,13,90,66,103,247,49,41,53,13,0.00111178017826905,0.735571961578154,"MIR5096",FALSE,TRUE,TRUE,TRUE,1.7740421349779
"'DYNC1H1","+",9,8,13,15,14,65,7,6,14,1,0.0286231884057971,0.734615384615384,"",FALSE,TRUE,TRUE,FALSE,NA
"'MEMO1","-",14,5,19,8,21,62,10,9,6,2,0.404830917874396,0.729032258064516,"",FALSE,TRUE,TRUE,FALSE,NA
"'STAG3","+",10,5,23,12,23,56,14,9,6,6,0.721023359288098,0.727272727272727,"GATS",FALSE,TRUE,TRUE,FALSE,NA
"'ELMO1","-",15,5,24,11,28,46,10,14,9,2,0.0353567455903384,0.717391304347826,"MIR1200, ELMO1-AS1",TRUE,TRUE,TRUE,FALSE,NA
"'KIFC1","+",13,6,21,17,24,72,9,12,14,3,0.0201917713041183,0.714646464646465,"",FALSE,TRUE,TRUE,FALSE,NA
"'MSH5-SAPCD1","+",16,4,25,6,27,49,12,13,4,2,0.653936472623903,0.710204081632653,"MSH5, SAPCD1, SAPCD1-AS1",FALSE,TRUE,TRUE,FALSE,NA
"'NCAPH2","+",20,5,37,12,45,53,19,18,9,3,0.191801022606069,0.710120068610635,"SCO2",FALSE,TRUE,TRUE,FALSE,NA
"'PPFIA1","+",11,6,18,18,23,65,9,9,14,4,0.164182424916574,0.708974358974359,"MIR548K",FALSE,TRUE,TRUE,FALSE,NA
"'SNORA58B","+",3,5,3,8,3,50,1,2,8,0,0.0545454545454546,0.706666666666667,"UBAP2L",FALSE,FALSE,FALSE,TRUE,0.527246214813246
"'XPO1","-",5,5,6,8,6,39,4,2,6,2,1,0.705128205128205,"",FALSE,TRUE,TRUE,FALSE,NA
"'MAD1L1","-",16,6,21,13,24,51,14,7,9,4,1,0.702317290552585,"MIR4655, SNORA114",TRUE,TRUE,TRUE,FALSE,NA
"'PDE3B","+",14,4,29,21,32,71,19,10,16,5,0.536817507889544,0.701584507042254,"",FALSE,TRUE,TRUE,FALSE,NA
