"timepoint","num_UniqueSites","num_UniqueSites_CR","num_UniqueSites_NR","num_Patients","num_Patients_CR","num_Patients_NR","estAbund","relAbund","refSeq_counts.10k","refSeq_counts.100k","refSeq_counts.1M","GC.100","GC.1k","GC.10k","GC.100k","GC.1M","CpG_counts.1k","CpG_counts.10k","CpG_density.10k","CpG_density.100k","CpG_density.1M","DNaseI_count.1k","DNaseI_count.10k","DNaseI_count.100k","DNaseI_count.1M","hg38.10k...34","hg38.10k...35","hg38.10k...36","hg38.10k...37","hg38.10k...38","hg38.10k...39","hg38.10k...40","hg38.10k...41","hg38.10k...42","hg38.10k...43","hg38.10k...44","hg38.10k...45","hg38.10k...46","hg38.10k...47","hg38.10k...48","hg38.10k...49","hg38.10k...50","hg38.10k...51","hg38.10k...52","hg38.10k...53","hg38.10k...54","hg38.10k...55","hg38.10k...56","hg38.10k...57","hg38.10k...58","hg38.10k...59","hg38.10k...60","hg38.10k...61","hg38.10k...62","hg38.10k...63","hg38.10k...64","hg38.10k...65","hg38.10k...66","hg38.10k...67","hg38.10k...68","hg38.10k...69","hg38.10k...70","hg38.10k...71","hg38.10k...72","hg38.10k...73","hg38.10k...74","hg38.10k...75","hg38.10k...76","hg38.10k...77","hg38.10k...78","hg38.10k...79","hg38.10k...80","hg38.10k...81","hg38.10k...82","hg38.10k...83","hg38.10k...84","hg38.10k...85","hg38.10k...86","hg38.10k...87","hg38.10k...88","hg38.10k...89","hg38.10k...90","hg38.10k...91","hg38.10k...92","hg38.10k...93","clustersRepresented","numSitesInClusters","abundInClusters"
"d0",147690,110764,37202,59,0,0,1.09412184593836,0.000429907323930578,2.82088094869326,7.6192499612792,52.6102128633863,0.410426016046726,0.413728455108706,0.427198819743247,0.443445067115618,0.45370082895691,0.0117848292209891,0.221702941493374,0.0000221702941493374,0.0000284714066372158,0.0000284658980713285,1.06802203426355,9.55274889559315,97.2791792371512,933.824392576231,71.8166384958821,74.8142075030808,441.275360952484,0.169310957870919,0.135568414805223,0.0745878676866717,12.295638354467,20.0931454083866,8.05660644179422,22.9705385221449,26.9749358581539,21.7663957333046,29.3432548367329,29.8207664698079,89.5145421854693,14.2951804389255,25.5037205637748,13.9319928080324,29.747755877144,66.5285018754335,19.0439396898296,14.0890578387733,24.485148048135,27.9628819049287,95.1992875372898,24.6881662502778,103.294776395801,47.7700186533243,89.7506043811743,36.8847062943185,5.45060909501074,20.8593121839204,19.4497538703964,82.5929130835898,19.2448366655668,9.94104337402946,38.6924289052452,22.8334130196163,28.2840625189395,39.2884127165839,172.279705587243,11.9995084141981,29.2257995003333,30.708758981542,26.0470036835265,24.2137253449518,0.000702038389110972,0.00212666703254487,6.48070357376144,39.2739547067657,37.3034565889333,30.5344278412649,26.4117805507108,32.3175105556266,55.1469639526192,46.4251409100398,23.4994781109637,36.2888032916047,40.3193893561573,428.589066372158,50,1364,1471
"d1",10,0,10,2,0,0,1.5,0.192857142857143,1.5,3.3,26.6,0.416,0.3907,0.40584,0.408661,0.41333,0,0,0,0.000012,0.0000174,0.9,9.2,92.2,831.5,64.7,69,503.6,0,0,0,8.6,13.3,6.3,23.4,11.8,11.9,14.3,17.4,46.9,12.2,11,10.7,11.1,46,29,26.3,13.8,29.1,92.1,13,48.8,21.7,34.1,35.6,7.1,24.7,12,48.7,32.2,15.5,37.8,23.1,20.7,33.9,223.6,9.6,16.3,20.9,9.5,29.6,0,0,3.3,33.4,31,32.1,31.6,34,53.3,40.7,21.4,34.5,38.7,465.1,0,0,0
"d9",102,0,102,1,0,0,1.27450980392157,0.00965537730243613,2.18627450980392,4.85294117647059,30.8627450980392,0.438137254901961,0.418009803921569,0.41385,0.418016470588235,0.424443305948286,0.00980392156862745,0.127450980392157,0.0000127450980392157,0.0000158823529411765,0.0000152647058823529,0.784313725490196,7.11764705882353,78.9117647058823,793.676470588235,51.2941176470588,61.3823529411765,440.558823529412,0.0882352941176471,0.0792079207920792,0.0686274509803922,9.55882352941176,13.0588235294118,6.23529411764706,19.4705882352941,12.1176470588235,12.4117647058824,15.6666666666667,11.5392156862745,43.7647058823529,12.2941176470588,14.2745098039216,8.90196078431373,11.0980392156863,46.2450980392157,24.6372549019608,20.6470588235294,15.6666666666667,25.5980392156863,71.8235294117647,12.8137254901961,41.1372549019608,23.1176470588235,49.8529411764706,32.6764705882353,5.43137254901961,25.3725490196078,12.6666666666667,42.6078431372549,26.5686274509804,17.9705882352941,32.5686274509804,21.0392156862745,16.2156862745098,27.3039215686275,66.843137254902,15.4019607843137,16.0392156862745,17.9313725490196,11.6666666666667,23.8627450980392,0,0,5.08823529411765,16.1862745098039,28.7843137254902,26.1666666666667,23.3627450980392,28.2549019607843,42.3333333333333,35.7941176470588,19.2941176470588,30.9019607843137,31.1862745098039,422.411764705882,2,3,5
"d10",2198,1561,637,6,0,0,1.22520473157416,0.00258731615501301,2.6533212010919,6.24567788898999,40.9313011828935,0.423111919927207,0.405287989080983,0.413332779737726,0.426223692149245,0.435661809272296,0.00818926296633303,0.163785259326661,0.0000163785259326661,0.00002024567788899,0.0000207220200181984,0.935395814376706,8.85168334849864,89.9749772520473,870.992720655141,65.4285714285714,71.3202911737944,446.898999090082,0.110555050045496,0.0913659205116492,0.0509554140127389,10.8803457688808,16.8935395814377,7.35668789808917,22.3826205641492,20.5141037306642,18.5818926296633,22.9171974522293,22.0081892629663,69.5550500454959,14.1242038216561,20.492720655141,12.6774340309372,22.7361237488626,59.786169244768,21.2411282984531,17.252957233849,21.4212920837125,27.3052775250227,86.5377616014559,19.622838944495,78.1273885350318,39.3776160145587,71.8098271155596,35.7465878070974,5.75978161965423,21.2338489535942,17.0454959053685,69.9281164695177,22.0391264786169,12.1492265696087,36.2424931756142,21.7934485896269,25.1847133757962,33.9353958143767,125.952684258417,10.9749772520473,24.4918107370337,27.1724294813467,18.2356687898089,23.4877161055505,0.0022002200220022,0.00373831775700935,5.38898999090082,30.4099181073703,34.1028207461328,29.3380345768881,26.8971792538672,31.9799818016379,54.7115559599636,45.2429481346679,22.2679708826206,36.2970882620564,37.49135577798,430.291173794358,29,51,63
"d11",26,0,26,1,0,0,1.19230769230769,0.0372596153846154,0.730769230769231,4.69230769230769,35.3846153846154,0.520769230769231,0.429307692307692,0.435553846153846,0.438781538461538,0.43677196124138,0,0.115384615384615,0.0000115384615384615,0.0000165384615384615,0.0000215,1.11538461538462,9.5,86.7692307692308,856.730769230769,53.9230769230769,60,502.461538461538,0.0384615384615385,0.0384615384615385,0.0384615384615385,9.65384615384615,13.9615384615385,6.11538461538461,23.1153846153846,11.1923076923077,11.6153846153846,14.0769230769231,9.19230769230769,57.8846153846154,14.4230769230769,12.3461538461538,9.96153846153846,10.8461538461538,43.3461538461538,28.0769230769231,31.7307692307692,14.5769230769231,30.1538461538462,75,11.8076923076923,57.6153846153846,24.1538461538462,43.7307692307692,36.9230769230769,5.76923076923077,33,14.2692307692308,47.1153846153846,27.6538461538462,16.4230769230769,37.4615384615385,21.4230769230769,15.6153846153846,27.8076923076923,79.6153846153846,15.8076923076923,19.1153846153846,16.5,11.4230769230769,25.2692307692308,0,0,6,11.2692307692308,31.8461538461538,20.9615384615385,21.3846153846154,30.3461538461538,39.0769230769231,32.4230769230769,20.6538461538462,29.3076923076923,40.4230769230769,484.884615384615,0,0,0
"d13",2325,2325,0,2,0,0,1.65247311827957,0.000860059836323209,2.91354838709677,7.95397849462366,52.2331182795699,0.425587096774194,0.419255913978495,0.42856266319105,0.445581981929425,0.456475145792856,0.0124731182795699,0.210322580645161,0.0000210322580645161,0.0000278709677419355,0.0000282417204301075,1.01591397849462,9.24989247311828,96.276559139785,935.551827956989,73.6486021505376,72.7109677419355,438.52,0.163870967741935,0.13479758828596,0.0782795698924731,11.7251612903226,18.6924731182796,7.76430107526882,20.4623655913978,23.8937634408602,19.6021505376344,26.2791397849462,26.7750537634409,87.9660215053763,13.16,21.8886021505376,12.610752688172,26.229247311828,65.1574193548387,18.8258064516129,14.4150537634409,22.0305376344086,27.7015053763441,103.443870967742,22.1948387096774,90.0395698924731,43.3174193548387,83.7088172043011,36.6236559139785,5.33118279569892,20.3810752688172,18.6425806451613,76.1440860215054,18.4933333333333,9.63268817204301,38.4787096774194,22.7238709677419,27.9268817204301,38.8593548387097,174.097204301075,10.5466666666667,27.0133333333333,29.050752688172,23.7591397849462,24.5729032258065,0,0.00219202104340202,6.37935483870968,39.6615053763441,36.0838709677419,29.3402150537634,25.6589247311828,31.6666666666667,56.1750537634409,45.1759139784946,22.5939784946237,34.9901075268817,39.3393548387097,428.160430107527,37,94,249
"d14",30757,27505,3260,17,0,0,1.66145607627066,0.000762167205165505,2.78230050145484,6.78366247755835,45.4603788769888,0.401838501064341,0.402478733728583,0.414640002689329,0.431166987119828,0.443366698203957,0.00863616665634867,0.166099176623537,0.0000166099176623537,0.0000227923605522194,0.0000234933758434966,1.00845044264223,9.06104129263914,92.9166718256671,900.398130378258,70.852039868755,74.1573391939578,444.31105676964,0.130099671887575,0.102265673494724,0.0559338822509751,11.309540023525,18.026434718009,7.66699684269176,20.3867083513898,22.6354237602922,19.8242431746425,25.1262613755959,24.9675602055346,78.2968798365629,14.0057883984399,21.5531789760416,13.2408840463072,25.4940568315483,65.716275614437,19.4600383829629,14.6984151550796,22.575342041726,27.1849501640562,97.8302482510989,21.2903485420665,87.0083266266328,43.205039311583,76.511236302854,36.2462081347118,5.63350461214635,19.6565034358943,17.6138797746549,76.6809880517551,20.1344641862193,10.7172351885099,37.3289791370024,22.2849625456572,28.3881631895004,36.644709960998,147.497740357828,11.0001238160094,26.6374976784498,29.4921067294001,20.8329412493035,23.5994242555562,0.000605326876513317,0.00199367088607595,5.65495573577664,35.4380300872903,35.7619637219092,30.4939639695413,27.4961926577106,32.7033368414536,57.6239707794218,47.1207206091748,23.176592583421,37.381539032997,38.8983780102767,427.021513031635,50,762,1517
"d15",784,784,0,1,0,0,1.13137755102041,0.00127551020408163,2.52551020408163,6.51020408163265,48.3864795918367,0.441033163265306,0.422463010204082,0.42654068877551,0.439713705631652,0.448625382111863,0.00637755102040816,0.181122448979592,0.0000181122448979592,0.0000240178571428571,0.0000253112244897959,0.961734693877551,9.19642857142857,94.3303571428571,908.593112244898,66.6441326530612,70.8341836734694,441.542091836735,0.133928571428571,0.110969387755102,0.0752551020408163,11.4923469387755,20.3252551020408,7.74617346938776,21.5395408163265,26.0293367346939,21.0994897959184,29.0497448979592,28.6989795918367,86.3482142857143,14.5714285714286,24.5612244897959,13.8839285714286,28.3150510204082,64.2551020408163,20.5331632653061,16.3558673469388,23.3864795918367,28.3392857142857,84.8125,23.9438775510204,102.738520408163,45.4706632653061,82.9043367346939,36.5663265306122,5.43112244897959,21.1313775510204,18.4566326530612,80.5102040816327,20.9043367346939,11.1632653061224,38.140306122449,22.1913265306122,27.0484693877551,37.9119897959184,163.422193877551,10.3303571428571,28.3826530612245,29.6951530612245,25.9438775510204,24.1415816326531,0,0.00130378096479791,5.74107142857143,33.7359693877551,35.5510204081633,28.4706632653061,25.1301020408163,31.905612244898,53.1045918367347,44.1964285714286,22.7716836734694,34.3928571428571,37.5165816326531,427.820153061225,8,12,13
"d17",136,0,136,1,0,0,2.03676470588235,0.00735294117647059,2.64705882352941,5.72058823529412,43.0955882352941,0.388235294117647,0.395735294117647,0.406227941176471,0.422676232889846,0.438998448134609,0,0.110294117647059,0.0000110294117647059,0.0000185294117647059,0.0000213014705882353,1.16911764705882,9.38235294117647,93.1029411764706,904.5,70.6470588235294,76.5294117647059,455.066176470588,0.110294117647059,0.0882352941176471,0.00735294117647059,11.3088235294118,19.0441176470588,7.67647058823529,21.7426470588235,25.9926470588235,23.8382352941176,28.9852941176471,26.2647058823529,70.1323529411765,13.8897058823529,25.6544117647059,13.7867647058824,26.5514705882353,65.1323529411765,20.3455882352941,15.9852941176471,26.6029411764706,27.6176470588235,96.6470588235294,24.4485294117647,79.1911764705882,42.2647058823529,74.7867647058823,36.5441176470588,6.15441176470588,19.1397058823529,18.9852941176471,76,21.625,10.1911764705882,38.8088235294118,22.6397058823529,30.8014705882353,36.875,130.529411764706,9.25735294117647,28.4485294117647,32.0294117647059,23.8455882352941,23.1102941176471,0,0,5.70588235294118,31.3897058823529,37.8897058823529,32.8455882352941,29.1029411764706,33.8897058823529,61.3088235294118,49.5,24.0367647058824,40.7647058823529,39.1691176470588,434.573529411765,2,2,3
"d21",3924,3762,162,6,0,0,1.70973496432212,0.00152875192055033,2.92660550458716,6.95769622833843,45.5950560652396,0.401241080530071,0.401938073394495,0.414512600771327,0.431551719471308,0.443497480283805,0.0063710499490316,0.164373088685015,0.0000164373088685015,0.0000229638124362895,0.0000235428134556575,1.03007135575943,9.11926605504587,93.4001019367992,897.325178389399,70.960499490316,73.855504587156,435.626146788991,0.127930682976555,0.101920614596671,0.0563200815494393,11.3340978593272,17.9334862385321,7.6572375127421,19.9046890927625,22.4169215086646,19.506880733945,24.7525484199796,24.9069826707441,78.1021916411825,14.0874108053007,21.2517838939857,13.4617737003058,25.4556574923547,65.6990316004077,19.1783893985729,14.546381243629,22.3137104994903,27.1903669724771,98.2354740061162,21.1605504587156,89.6006625891947,43.611875637105,76.0812945973496,35.9989806320082,5.56422018348624,19.22375127421,17.4566768603466,77.8606014271152,19.8651885830785,10.7966360856269,36.9750254841998,22.1534148827727,28.5423037716616,36.5374617737003,150.493883792049,10.5670234454638,26.7079510703364,29.4528542303772,20.6322629969419,23.4487767584098,0.000630517023959647,0.00156494522691706,5.52395514780836,36.7645259938838,35.3032619775739,30.2571355759429,27.2581549439348,32.6213047910296,58.1156982670744,47.2884811416922,23.1409276248726,37.546126401631,39.112130479103,422.238277268094,40,81,270
