"Genomic_Loci","Gene_Name","Gene_Orientation","Gene_Width_(kb)","Obs_TDN_Products","Obs_Patients","Num_Sites_TDN","Num_Sites_Patients","Peak_Abund_TDN","Peak_Abund_Patients","Peak_RelAbund_TDN","Peak_RelAbund_Patients","Longitudinal_Count","Last_Timepoint","Abund_Gini","On_Onco_List","Within_Cluster","Cluster_target.min","Freq_TDN_Sites","Freq_Patient_Sites","Freq_Difference","Percent_Freq_Change","Enrichment","Depletion","Abundance","Longitudinal","Criteria"
"chr15+85380615:85749358","'AKAP13","+",378.744,16,12,36,34,2,27,0.001,0.009,2,360,0.472,TRUE,FALSE,0,0.00000100705631942661,0.00000176373136474951,0.0000007566750453229,75.1,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr1+154220171:154271510","'UBAP2L","+",61.34,20,12,38,34,2,30,0.002,0.013,2,180,0.5,FALSE,TRUE,0.527246214813246,0.00000656352048169884,0.0000108901641997178,0.00000432664371801893,65.9,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr19+797391:812327","'PTBP1","+",24.937,11,8,18,20,2,47,0.001,0.043,2,360,0.658,TRUE,FALSE,0,0.00000764760273178233,0.0000157574186245972,0.0000081098158928149,106,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr4+105145874:105279803","'TET2","+",143.93,7,6,10,16,2,814,0.001,0.989,7,1584,0.918,TRUE,FALSE,0,0.000000736115045594911,0.00000218407697209244,0.00000144796192649753,196.7,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr16-188968:229482","'LUC7L","-",50.515,30,17,157,67,6,30,0.01,0.18,2,548,0.396,FALSE,FALSE,0,0.0000329288311322551,0.0000260587589153578,-0.00000687007221689732,-20.9,FALSE,FALSE,TRUE,TRUE,"AL"
"chr4-101023429:101347471","'PPP3CA","-",334.043,15,17,34,40,6,6,0.001,0.009,2,180,0.246,FALSE,FALSE,0,0.00000107838431262567,0.00000235264770249088,0.00000127426338986521,118.2,TRUE,FALSE,FALSE,TRUE,"EL"
"chr16+1678276:1702072","'JPT2","+",33.797,30,16,139,77,5,23,0.005,0.5,2,1095,0.434,FALSE,TRUE,6.85404591559336,0.0000435746260118771,0.0000447622445995233,0.00000118761858764619,2.7,FALSE,FALSE,TRUE,TRUE,"AL"
"chr16-89267620:89490561","'ANKRD11","-",232.942,25,15,84,50,3,23,0.002,0.042,2,1095,0.438,FALSE,FALSE,0,0.00000382057303322198,0.00000421717367672619,0.000000396600643504215,10.4,FALSE,FALSE,TRUE,TRUE,"AL"
"chr11+68460717:68615333","'PPP6R3","+",164.617,20,15,70,59,3,149,0.005,0.04,3,60,0.717,FALSE,TRUE,3.15138669424078,0.00000450526537105723,0.00000704168528956708,0.00000253641991850985,56.3,TRUE,FALSE,TRUE,FALSE,"EA"
"chr17-76142452:76240311","'RNF157","-",107.86,28,15,187,79,4,28,0.005,0.076,2,180,0.384,TRUE,FALSE,0,0.0000183686910827303,0.0000143901711065663,-0.00000397851997616397,-21.7,FALSE,FALSE,TRUE,TRUE,"AL"
"chr9-136440095:136483759","'SEC16A","-",53.665,31,15,114,56,5,29,0.01,0.03,2,600,0.48,FALSE,FALSE,0,0.0000225066437909666,0.0000205019974858181,-0.00000200464630514848,-8.9,FALSE,FALSE,TRUE,TRUE,"AL"
"chr19-48208085:48255946","'CARD8","-",57.862,24,14,117,44,4,79,0.002,0.056,4,270,0.673,TRUE,FALSE,0,0.000021423451498323,0.0000149402724781632,-0.00000648317902015977,-30.3,FALSE,TRUE,TRUE,TRUE,"DAL"
"chr16+1614639:1677908","'CRAMP1","+",73.27,28,14,88,54,5,30,0.003,0.007,2,548,0.525,FALSE,FALSE,0,0.0000127248742856529,0.0000144799429541732,0.00000175506866852033,13.8,FALSE,FALSE,TRUE,TRUE,"AL"
"chr21+46458948:46570013","'DIP2A","+",121.066,28,14,96,41,4,25,0.003,0.028,2,360,0.424,FALSE,FALSE,0,0.00000840129160722056,0.00000665366522306214,-0.00000174762638415842,-20.8,FALSE,FALSE,TRUE,TRUE,"AL"
"chr17+2593628:2685615","'PAFAH1B1","+",101.988,21,14,72,37,5,30,0.003,0.08,2,360,0.48,FALSE,FALSE,0,0.00000747963561683554,0.0000071277413445398,-0.000000351894272295744,-4.7,FALSE,FALSE,TRUE,TRUE,"AL"
"chr16+22437007:22492220","'SMG1P1","+",65.214,19,14,26,33,1,3,0.005,0.043,2,270,0.055,FALSE,TRUE,5.24977286655148,0.00000422405465287264,0.00000994196851287467,0.00000571791386000204,135.4,TRUE,FALSE,FALSE,TRUE,"EL"
"chr19+6772667:6857366","'VAV1","+",94.7,28,14,117,80,5,37,0.002,0.154,3,180,0.515,TRUE,TRUE,6.6848152464621,0.0000130897967327979,0.0000165973705698662,0.00000350757383706823,26.8,FALSE,FALSE,TRUE,TRUE,"AL"
"chrX+44873174:45112612","'KDM6A","+",249.439,15,13,24,26,5,9,0.003,0.057,4,120,0.385,TRUE,FALSE,0,0.00000101939829950385,0.00000204789777345987,0.00000102849947395601,100.9,TRUE,FALSE,FALSE,TRUE,"EL"
"chr17-4004444:4142959","'ZZEF1","-",148.516,29,13,90,51,4,56,0.003,0.333,5,360,0.614,FALSE,TRUE,1.7740421349779,0.00000642046208228258,0.0000067467748122494,0.000000326312729966822,5.1,FALSE,FALSE,TRUE,TRUE,"AL"
"chr6-1623799:2245634","'GMDS","-",631.836,9,12,13,19,7,8,0.002,0.007,2,360,0.316,FALSE,FALSE,0,0.000000217989715790519,0.000000590810923767405,0.000000372821207976886,171,TRUE,FALSE,FALSE,TRUE,"EL"
"chr17-75318075:75405709","'GRB2","-",97.635,28,12,74,34,6,42,0.005,0.017,3,180,0.554,TRUE,FALSE,0,0.00000803014170115552,0.00000684183614493458,-0.00000118830555622093,-14.8,FALSE,FALSE,TRUE,TRUE,"AL"
