seqnames,strand,position,sampleName,refGenome
chr7,+,127723802,D28 - CR_PRtd,hg38
chr19,+,47520611,D28 - CR_PRtd,hg38
chr5,-,147817451,D28 - CR_PRtd,hg38
chr3,-,56735939,D28 - CR_PRtd,hg38
chr1,+,45023973,D28 - CR_PRtd,hg38
chr9,+,127685266,D28 - CR_PRtd,hg38
chr6,-,30594486,D28 - CR_PRtd,hg38
chr13,+,75582881,D28 - CR_PRtd,hg38
chr6,+,127776109,D28 - CR_PRtd,hg38
chr1,+,176014139,D28 - CR_PRtd,hg38
chr16,+,15009800,D28 - CR_PRtd,hg38
chr12,-,123501867,D28 - CR_PRtd,hg38
chr19,+,13126327,D28 - CR_PRtd,hg38
chr19,-,58566527,D28 - CR_PRtd,hg38
chr17,+,59987696,D28 - CR_PRtd,hg38
chr4,-,150811379,D28 - CR_PRtd,hg38
chr5,-,55625884,D28 - CR_PRtd,hg38
chr10,-,114494730,D28 - CR_PRtd,hg38
chr4,-,102812896,D28 - CR_PRtd,hg38
chr10,-,102138366,D28 - CR_PRtd,hg38
chr7,-,34930845,D28 - CR_PRtd,hg38
chr3,-,187038786,D28 - CR_PRtd,hg38
chr15,-,65505978,D28 - CR_PRtd,hg38
chr20,+,41544576,D28 - CR_PRtd,hg38
chr1,+,25633768,D28 - CR_PRtd,hg38
chr1,-,15874229,D28 - CR_PRtd,hg38
chr5,-,50731723,D28 - CR_PRtd,hg38
chr6,-,135395396,D28 - CR_PRtd,hg38
chr22,-,12091529,D28 - CR_PRtd,hg38
chr4,-,20612840,D28 - CR_PRtd,hg38
chr13,-,77153225,D28 - CR_PRtd,hg38
chr8,+,143968438,D28 - CR_PRtd,hg38
chr19,+,7257232,D28 - CR_PRtd,hg38
chr8,+,99666972,D28 - CR_PRtd,hg38
chr12,-,50038066,D28 - CR_PRtd,hg38
chrX,+,147511252,D28 - CR_PRtd,hg38
chr20,+,3153848,D28 - CR_PRtd,hg38
chr15,+,61953709,D28 - CR_PRtd,hg38
chr17,-,7869556,D28 - CR_PRtd,hg38
chr4,-,88961709,D28 - CR_PRtd,hg38
chr15,-,94294021,D28 - CR_PRtd,hg38
chr6,-,57381420,D28 - CR_PRtd,hg38
chr3,-,49376911,D28 - CR_PRtd,hg38
chr1,+,107642137,D28 - CR_PRtd,hg38
chr11,-,121455817,D28 - CR_PRtd,hg38
chr1,-,43832027,D28 - CR_PRtd,hg38
chr18,-,23976291,D28 - CR_PRtd,hg38
chr5,+,102535192,D28 - CR_PRtd,hg38
chr21,-,45205898,D28 - CR_PRtd,hg38
chr4,-,140001791,D28 - CR_PRtd,hg38
chr8,+,127452147,D28 - CR_PRtd,hg38
chr1,-,151216966,D28 - CR_PRtd,hg38
chr16,+,57865738,D28 - CR_PRtd,hg38
chr21,-,44025083,D28 - CR_PRtd,hg38
chr2,+,8598607,D28 - CR_PRtd,hg38
chr8,-,17278366,D28 - CR_PRtd,hg38
chr17,+,80275898,D28 - CR_PRtd,hg38
chr19,+,38098629,D28 - CR_PRtd,hg38
chr8,-,116675572,D28 - CR_PRtd,hg38
chr3,+,44454111,D28 - CR_PRtd,hg38
chr7,+,44271010,D28 - CR_PRtd,hg38
chr4,-,47890565,D28 - CR_PRtd,hg38
chr6,+,118861757,D28 - CR_PRtd,hg38
chr3,-,179230585,D28 - CR_PRtd,hg38
chr3,+,167727712,D28 - CR_PRtd,hg38
chr6,-,29961624,D28 - CR_PRtd,hg38
chr10,+,62166846,D28 - CR_PRtd,hg38
chr11,-,30645397,D28 - CR_PRtd,hg38
chr10,+,12574670,D28 - CR_PRtd,hg38
chr4,-,134952262,D28 - CR_PRtd,hg38
chr16,-,67092358,D28 - CR_PRtd,hg38
chr12,-,57697073,D28 - CR_PRtd,hg38
chrX,+,96780075,D28 - CR_PRtd,hg38
chr1,-,35622882,D28 - CR_PRtd,hg38
chr8,-,141247386,D28 - CR_PRtd,hg38
chr19,+,31193305,D28 - CR_PRtd,hg38
chr3,+,136979863,D28 - CR_PRtd,hg38
chr20,+,16224163,D28 - CR_PRtd,hg38
chr19,+,12621187,D28 - CR_PRtd,hg38
chr1,+,27648148,D28 - CR_PRtd,hg38
chr4,-,113521290,D28 - CR_PRtd,hg38
chr3,-,141568535,D28 - CR_PRtd,hg38
chr19,-,2832145,D28 - CR_PRtd,hg38
