"loci","region_name","region_width","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","TDN_sum_abund","TP_sum_abund","long_count","max_time","max_span","abund_gini","ort_fisher_test","Near_Onco","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min","TDN_freq","TP_freq","freq_diff","pct_chg"
"chr1*70009:134771","LOC729737",74.763,2,1,2,1,1,1,0.000719424460431655,0.000126887450831113,2,1,1,14,0,0,0.333333333333333,FALSE,FALSE,FALSE,FALSE,0,0.000000181130749950035,0.000000250582641351499,0.0000000694518914014643,38.3435123084417
"chr1*187959:205127","FAM138D",27.169,0,1,0,1,0,1,0,0.000354233085370174,0,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000689547278713318,0.000000689547278713318,Inf
"chr1*206598:450738","OR4F16",254.141,0,2,0,2,0,1,0,0.00087260034904014,0,2,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000147432409688812,0.000000147432409688812,Inf
"chr1*686655:725757","LOC100133331",49.103,1,0,1,0,1,0,0.000282406099971759,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000137892575387598,0,-0.000000137892575387598,-100
"chr1*730352:764863","LOC100288069",44.512,6,1,6,1,3,1,0.000847457627118644,0.000848176420695505,8,1,1,14,0,0,0.285714285714286,FALSE,FALSE,FALSE,FALSE,0,0.00000091268949441821,0.000000420882234349437,-0.000000491807260068773,-53.8854958971861
"chr1*778689:817369","FAM87B",48.681,15,10,21,13,2,2,0.00105820105820106,0.00444444444444444,22,16,1,21,0,0.144230769230769,0.152855024100853,FALSE,FALSE,TRUE,FALSE,0,0.00000292084636129911,0.00000500289702758176,0.00000208205066628266,71.2824438104516
"chr1*819835:826204","LINC00115",16.37,2,0,2,0,1,0,0.000495785820525533,0,2,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000827237523427884,0,-0.000000827237523427884,-100
"chr1*982118:998960","HES4",26.843,1,0,1,0,1,0,0.000908265213442325,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000252242265367404,0,-0.000000252242265367404,-100
"chr1*1056120:1071744","RNF223",25.625,2,0,2,0,1,0,0.000719424460431655,0,2,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000528463541795686,0,-0.000000528463541795686,-100
"chr1*1116357:1137015","LINC01342",30.659,1,0,1,0,1,0,0.000162443144899285,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.0000002208467050216,0,-0.0000002208467050216,-100
"chr1*1197934:1203506","TNFRSF18",15.573,1,0,2,0,1,0,0.000303122158229767,0,2,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000086957415132052,0,-0.00000086957415132052,-100
"chr1*1206710:1211324","TNFRSF4",14.615,1,0,1,0,1,0,0.000131319763624425,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000463286974290607,0,-0.000000463286974290607,-100
"chr1*1214169:1216906","SDF4",12.738,2,0,2,0,1,0,0.000235349493998588,0,2,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000106310867157438,0,-0.00000106310867157438,-100
"chr1*1246723:1253910","UBE2J2",17.188,5,0,6,0,1,0,0.000307408545957578,0,6,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000236360453662691,0,-0.00000236360453662691,-100
"chr1*1273855:1280434","SCNN1D",16.58,3,1,4,1,1,2,0.000365764447695684,0.000126582278481013,4,2,1,14,0,0,1,FALSE,FALSE,TRUE,FALSE,0,0.00000163351969342756,0.00000112993425906889,-0.000000503585434358672,-30.8282438457792
"chr1*1363542:1373728","AURKAIP1",20.187,0,2,0,2,0,1,0,0.00218340611353712,0,2,1,270,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.0000018560766845358,0.0000018560766845358,Inf
"chr1*1375439:1385709","CCNL2",20.271,6,3,7,3,2,1,0.000991571641051066,0.00241545893719807,11,3,1,60,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000233814680601848,0.00000277257806946309,0.000000434431263444616,18.5801534072357
