"Genomic_Loci","Gene_Name","Gene_Orientation","Gene_Width_(kb)","Obs_TDN_Products","Obs_Patients","Num_Sites_TDN","Num_Sites_Patients","Peak_Abund_TDN","Peak_Abund_Patients","Peak_RelAbund_TDN","Peak_RelAbund_Patients","Longitudinal_Count","Last_Timepoint","Abund_Gini","On_Onco_List","Within_Cluster","Cluster_target.min","Freq_TDN_Sites","Freq_Patient_Sites","Freq_Difference","Percent_Freq_Change","Enrichment","Depletion","Abundance","Longitudinal","Criteria"
"chr19+6772667:6857366","'VAV1","+",94.7,101,63,506,296,5,37,0.177,100,6,2555,0.316,TRUE,TRUE,0.00187358852242597,1.38492755966704e-05,1.80746076694212e-05,4.22533207275074e-06,30.5,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr11+68460717:68615333","'PPP6R3","+",164.617,87,59,307,225,4,149,0.556,4.918,3,2555,0.463,FALSE,TRUE,6.77561030996958,4.83381708681556e-06,7.90378253346531e-06,3.06996544664976e-06,63.5,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr16-89267620:89490561","'ANKRD11","-",232.942,101,58,421,232,4,23,0.383,5.833,4,2555,0.243,FALSE,FALSE,0,4.6844738156586e-06,5.75926858054811e-06,1.07479476488952e-06,22.9,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr17+80260860:80398781","'RNF213","+",147.922,92,57,323,177,5,75,0.398,2.857,3,2190,0.413,TRUE,FALSE,0,5.65973727953028e-06,6.91938735183643e-06,1.25965007230615e-06,22.3,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr4+2843856:2930075","'ADD1","+",96.22,80,54,207,120,4,42,0.259,12.821,3,2008,0.349,FALSE,TRUE,0.916258284578531,5.57611231412966e-06,7.2117894786196e-06,1.63567716448995e-06,29.3,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr12-115958575:116277186","'MED13L","-",328.612,74,48,173,105,7,38,0.175,2.381,3,360,0.337,FALSE,FALSE,0,1.36454921637231e-06,1.84770667437185e-06,4.83157457999538e-07,35.4,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr3-70954713:71583989","'FOXP1","-",639.277,78,46,198,115,3,49,0.383,36.296,9,3285,0.368,TRUE,FALSE,0,8.02791250458294e-07,1.04024564883154e-06,2.37454398373244e-07,29.6,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr1+154220171:154271510","'UBAP2L","+",61.34,72,44,177,103,3,30,0.199,1.613,2,180,0.298,FALSE,TRUE,2.94683167411252,7.47921494475264e-06,9.71003063718294e-06,2.23081569243029e-06,29.8,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr15+85380615:85749358","'AKAP13","+",378.744,78,42,170,110,2,27,0.369,1.156,3,365,0.272,TRUE,FALSE,0,1.16340166147871e-06,1.67947703901152e-06,5.16075377532809e-07,44.4,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr5-178602663:178627053","'CLK4","-",34.391,65,42,163,99,4,53,0.369,6.077,6,2008,0.393,FALSE,FALSE,0,1.22848347834916e-05,1.66462931143916e-05,4.36145833089999e-06,35.5,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr16+2752328:2771412","'SRRM2","+",29.085,76,37,140,85,3,32,0.238,4.651,2,730,0.368,FALSE,FALSE,0,1.24762907588333e-05,1.68996225456381e-05,4.42333178680485e-06,35.5,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr3+132417659:132539032","'DNAJC13","+",131.374,44,29,69,49,3,71,0.174,0.562,4,180,0.622,FALSE,FALSE,0,1.36133868920171e-06,2.15681951261324e-06,7.95480823411528e-07,58.4,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr7-7636562:7718607","'RPA3","-",92.046,28,18,32,25,6,87,0.831,4.79,5,120,0.75,FALSE,FALSE,0,9.01097070646455e-07,1.57058785741364e-06,6.69490786767181e-07,74.3,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr7+72879334:72951440","'POM121","+",82.107,20,17,22,21,2,29,0.121,0.467,2,540,0.55,FALSE,FALSE,0,6.9449482886048e-07,1.47899347358613e-06,7.84498644725648e-07,113,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr5+14143701:14510204","'TRIO","+",376.504,15,12,19,18,2,61,0.105,2.58,6,1584,0.728,TRUE,FALSE,0,1.30800837966674e-07,2.76458570280573e-07,1.45657732313899e-07,111.4,TRUE,FALSE,TRUE,TRUE,"EAL"
"chr16-89737550:89816657","'FANCA","-",89.108,112,68,1059,440,4,28,0.307,11.667,3,2555,0.311,TRUE,TRUE,1.6467282959132,3.08039055982776e-05,2.85537483352058e-05,-2.25015726307177e-06,-7.3,FALSE,FALSE,TRUE,TRUE,"AL"
"chr17-76142452:76240311","'RNF157","-",107.86,107,62,743,316,4,28,0.766,7.576,3,2920,0.233,TRUE,FALSE,0,1.78547970334199e-05,1.69415762120618e-05,-9.1322082135817e-07,-5.1,FALSE,FALSE,TRUE,TRUE,"AL"
"chr16+1678276:1702072","'JPT2","+",33.797,102,60,470,222,6,23,0.706,50,3,1095,0.261,FALSE,TRUE,1.67776263258817,3.60450992815746e-05,3.79841113033891e-05,1.93901202181444e-06,5.4,FALSE,FALSE,TRUE,TRUE,"AL"
"chr22+41092609:41180077","'EP300","+",97.469,78,57,229,161,6,6,0.177,100,3,365,0.237,TRUE,TRUE,1.84418969114661,6.08969430053456e-06,9.55182842449713e-06,3.46213412396257e-06,56.9,TRUE,FALSE,FALSE,TRUE,"EL"
"chr16-188968:229482","'LUC7L","-",50.515,108,57,622,238,6,30,0.976,18.405,2,548,0.283,FALSE,TRUE,0.00248307993797726,3.19151248144475e-05,2.72448076981427e-05,-4.67031711630481e-06,-14.6,FALSE,TRUE,TRUE,TRUE,"DAL"
"chr9-136440095:136483759","'SEC16A","-",53.665,108,57,438,185,5,29,0.996,12.5,4,600,0.326,FALSE,FALSE,0,2.11548279037483e-05,1.99346099214361e-05,-1.22021798231226e-06,-5.8,FALSE,FALSE,TRUE,TRUE,"AL"
"chr21+46458948:46570013","'DIP2A","+",121.066,101,55,423,181,4,25,0.3,2.857,2,630,0.199,FALSE,FALSE,0,9.05617265274676e-06,8.64536887851343e-06,-4.10803774233329e-07,-4.5,FALSE,FALSE,TRUE,TRUE,"AL"
"chr16+1614639:1677908","'CRAMP1","+",73.27,98,54,378,192,5,30,0.383,2.778,3,548,0.335,FALSE,FALSE,0,1.33718694574287e-05,1.5153124250204e-05,1.78125479277533e-06,13.3,FALSE,FALSE,TRUE,TRUE,"AL"
"chr16-3725054:3880120","'CREBBP","-",165.067,91,54,264,165,2,5,0.488,10.204,3,600,0.172,TRUE,TRUE,2.96032833995529,4.14543575008311e-06,5.78030604236504e-06,1.63487029228193e-06,39.4,TRUE,FALSE,FALSE,TRUE,"EL"
"chr17+5282262:5386339","'RABEP1","+",114.078,96,54,389,173,4,26,0.369,7.317,4,270,0.257,TRUE,FALSE,0,8.83841160085574e-06,8.76942971537535e-06,-6.89818854803913e-08,-0.8,FALSE,FALSE,TRUE,TRUE,"AL"
"chr19-48208085:48255946","'CARD8","-",57.862,103,52,487,171,4,79,0.383,5.714,6,1825,0.426,TRUE,FALSE,0,2.18153427172736e-05,1.70895181064725e-05,-4.72582461080117e-06,-21.7,FALSE,TRUE,TRUE,TRUE,"DAL"
"chr17+2593628:2685615","'PAFAH1B1","+",101.988,92,52,313,153,5,30,0.369,15.385,2,365,0.27,FALSE,FALSE,0,7.95466293888695e-06,8.67500038369016e-06,7.20337444803211e-07,9.1,FALSE,FALSE,TRUE,TRUE,"AL"
"chr6-44826729:45378051","'SUPT3H","-",561.323,85,52,282,196,2,9,0.488,3.448,2,2190,0.194,FALSE,FALSE,0,1.30215532278497e-06,2.01915835730979e-06,7.17003034524825e-07,55.1,TRUE,FALSE,FALSE,TRUE,"EL"
