"loci","gene_name","gene_ort","gene_width","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","TDN_sum_abund","TP_sum_abund","long_count","max_time","max_span","abund_gini","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min","TDN_freq","TP_freq","freq_diff","pct_chg"
"chr19-58346805:58353499","A1BG","-",16.695,1,2,2,2,1,1,0.000908265213442325,0.00338983050847458,2,2,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.0000018696561196654,0.00000274598510547473,0.000000876328985809334,46.8711318938248
"chr19+58351969:58355183","A1BG-AS1","+",13.215,0,1,0,1,0,1,0,0.00338983050847458,0,1,1,10,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.00000173455245311769,0.00000173455245311769,Inf
"chr10-50799408:50885675","A1CF","-",96.268,1,1,1,1,1,1,0.000282406099971759,0.000768639508070715,1,1,1,28,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000162119857677597,0.000000238107269995744,0.0000000759874123181474,46.8711318938248
"chr12-9067707:9116229","A2M","-",58.523,5,4,5,6,3,4,0.000991571641051066,0.00888888888888889,8,9,1,14,0,0.277777777777778,0.545454545454546,FALSE,FALSE,FALSE,FALSE,0,0.00000133340348742434,0.00000235006175363023,0.00000101665826620589,76.2453582725897
"chr12+9065176:9068055","A2M-AS1","+",12.88,2,0,2,0,3,0,0.000723589001447178,0,4,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000242344013337064,0,-0.00000242344013337064,-100
"chr12+8822471:8876781","A2ML1","+",64.311,0,1,0,1,0,2,0,0.000531773464504121,0,2,1,21,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000356425971730346,0.000000356425971730346,Inf
"chr12-9228532:9234207","A2MP1","-",15.676,1,0,1,0,1,0,0.000217580504786771,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000995595461782782,0,-0.000000995595461782782,-100
"chr22-42692114:42721301","A4GALT","-",39.188,0,1,0,1,0,1,0,0.000859106529209622,0,1,1,21,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000584926780339653,0.000000584926780339653,Inf
"chr17-33529786:33533760","AA06","-",13.975,0,1,0,1,0,1,0,0.0000632911392405063,0,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.00000164022258804653,0.00000164022258804653,Inf
"chr12-53307455:53321628","AAAS","-",24.174,1,2,1,2,1,1,0.000217580504786771,0.00126903553299492,1,2,1,28,0,0,0.333333333333333,FALSE,FALSE,FALSE,FALSE,0,0.000000645609103123475,0.00000189642679473404,0.00000125081769161056,193.74226378765
"chr12+125065366:125143333","AACS","+",87.968,1,2,1,2,1,1,0.000241196333815726,0.00429184549356223,1,2,1,360,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000177416270222205,0.000000521146568478317,0.000000343730298256113,193.74226378765
"chr5-178764860:178818435","AACSP1","-",63.576,2,1,2,1,1,1,0.000722021660649819,0.0000632911392405063,2,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.000000490970003111454,0.000000360546600414469,-0.000000130423402696984,-26.5644340530876
"chr3-151751178:151928175","AADACL2-AS1","-",186.998,1,0,1,0,1,0,0.000241196333815726,0,1,0,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.0000000834605421389902,0,-0.0000000834605421389902,-100
"chr1+12644546:12667086","AADACL4","+",32.541,0,1,0,1,0,1,0,0.000442086648983201,0,1,1,14,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000704407076240752,0.000000704407076240752,Inf
"chr9-96641250:96655317","AAED1","-",24.068,0,1,0,1,0,1,0,0.00429184549356223,0,1,1,360,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0,0.000000952389507559843,0.000000952389507559843,Inf
"chr15-67200674:67255198","AAGAB","-",64.525,6,2,8,2,2,2,0.00113636363636364,0.00668896321070234,9,3,1,28,0,0.166666666666667,1,FALSE,FALSE,FALSE,FALSE,0,0.00000193499629091445,0.000000710487738642396,-0.00000122450855227206,-63.2822170265438
"chr2-69457994:69643845","AAK1","-",195.852,6,3,7,8,1,6,0.000509164969450102,0.00689655172413793,7,18,1,60,0,0.375,1,FALSE,FALSE,FALSE,FALSE,0,0.00000055781243598405,0.000000936303358370619,0.000000378490922386569,67.8527221643712
"chr11+77821113:77900785","AAMDC","+",89.673,3,1,3,1,1,3,0.000509164969450102,0.000380662352493338,3,3,1,14,0,0,0.25,FALSE,FALSE,FALSE,FALSE,0,0.000000522128883573881,0.000000255618867083183,-0.000000266510016490698,-51.0429560353917
"chr16-70252393:70289509","AARS","-",47.117,1,6,1,7,1,7,0.000299311583358276,0.00598802395209581,1,14,2,90,7,0.395604395604396,0.25,FALSE,FALSE,FALSE,FALSE,0,0.000000331238288917098,0.00000340545396938795,0.00000307421568047085,928.097923256773
"chr17-42950525:42964498","AARSD1","-",23.974,2,2,2,2,1,1,0.000509164969450102,0.0031055900621118,2,2,1,180,0,0,1,FALSE,FALSE,FALSE,FALSE,0,0.00000130199002743863,0.00000191224749044384,0.000000610257463005207,46.8711318938248
